"Name","Plays","Pos","Team","5-9 Tech %","Impact Plays","Havoc Plays","Pressures","Sacks","Run Stuffs","Run Disrupts","True Tackles","Blocks","Pass 1-on-1s","Run 1-on-1s","Batted Balls","Forced Fumbles","Fumble Recs","INTs","Impact %","Havoc %","Pressure %","Time to Pressure","Sack %","QB Proximity","Stuff %","Run Disrupt %","True Tackle %","Pass 1-on-1 %","Run 1-on-1 %","STS","DOTk","YATA","Stops","Stop %","Tot Tackles","Solo Tackles","Tot Tack %","Solo Tack %","Assisted Tackles","Ast Tack %"
"Aaron Faumui","599","DL","UVA","2.0%","29","32","8","-","9","13","24.5","893","114","142","3","0","0","0","4.8%","5.3%","2.7%","3.1","-","4.7","3.0%","4.3%","4.1%","38.6%","46.7%","44.7%","1.2","3.2","12","32.4%","39","10","6.5%","1.7%","29","4.8%"
"Aaron Lewis","636","DL","RUT","77.0%","34","30","15","3.5","4","10","28","770","210","202","2","1","0","0","5.3%","4.7%","4.6%","3.5","1.1%","4.7","1.3%","3.2%","4.4%","64.0%","65.6%","45.1%","3.0","4.5","4","10.0%","49","7","7.7%","1.1%","42","6.6%"
"Adin Huntington","675","DL","ULM","29.0%","60","80","25","7","8","48","42.5","890","179","200","1","4","0","0","8.9%","11.9%","7.6%","3.7","2.1%","4.3","2.3%","13.8%","6.3%","54.7%","57.5%","55.2%","1.0","4.2","11","19.6%","63","22","9.3%","3.3%","41","6.1%"
"Ahmed Hassanein","725","DL","BSU","83.6%","45","53","32","11","3","15","38","804","239","176","0","2","0","0","6.2%","7.3%","8.0%","4.3","2.8%","4.5","0.9%","4.6%","5.2%","59.8%","54.2%","47.4%","0.6","4.3","12","21.4%","56","20","7.7%","2.8%","36","5.0%"
"Alex Gubner","758","DL","MONT","0.1%","55","65","15","2.5","10","41","29","1100","163","151","3","0","0","0","7.3%","8.6%","3.6%","3.5","0.6%","4.5","2.9%","12.1%","3.8%","38.9%","44.5%","50.0%","1.4","3.1","14","31.1%","45","13","5.9%","1.7%","32","4.2%"
"Andre Carter","649","DL","IU","77.7%","39","49","12","2","12","32","39.5","788","177","212","0","0","0","0","6.0%","7.6%","3.9%","3.1","0.7%","4.5","3.5%","9.3%","6.1%","57.8%","61.8%","47.5%","1.6","4.5","14","23.3%","62","17","9.6%","2.6%","45","6.9%"
"Andrew Choi","521","DL","HAW","95.4%","31","33","11","2.5","5","20","25","461","134","147","0","0","0","0","6.0%","6.3%","4.7%","3.4","1.1%","4.8","1.7%","7.0%","4.8%","57.0%","51.4%","47.1%","3.1","5.3","6","18.2%","40","10","7.7%","1.9%","30","5.8%"
"Anthony Blume","519","DL","GAST","3.9%","13","17","5","3","0","12","17.5","693","154","141","0","1","0","0","2.5%","3.3%","1.8%","3.9","1.1%","4.6","0%","4.8%","3.4%","56.8%","56.9%","47.6%","1.2","3.6","2","10.5%","30","5","5.8%","1.0%","25","4.8%"
"Anthony Franklin","532","DL","STAN","2.3%","18","32","11","3","2","20","17","773","128","150","1","0","0","0","3.4%","6.0%","4.1%","5.3","1.1%","5.2","0.8%","7.5%","3.2%","47.9%","56.6%","52.3%","1.1","3.8","6","28.6%","26","8","4.9%","1.5%","18","3.4%"
"Anthony Goodlow","537","DL","OKST","54.4%","37","48","11","2.5","5","34","26.5","713","161","141","0","0","0","0","6.9%","8.9%","3.9%","3.7","0.9%","4.8","2.0%","13.5%","4.9%","56.5%","56.0%","59.5%","2.7","2.7","13","35.1%","40","13","7.4%","2.4%","27","5.0%"
"Ashton Gillotte","574","DL","LOU","59.8%","55","69","27","9","5","37","31","672","181","162","0","2","1","0","9.6%","12.0%","8.7%","3.2","2.9%","4.5","1.9%","14.0%","5.4%","58.6%","61.1%","58.7%","-0.1","2.8","7","15.2%","45","17","7.8%","3.0%","28","4.9%"
"Austin Ertl","639","DL","M-OH","0.3%","36","43","7","1","4","28","26","889","143","204","5","0","0","0","5.6%","6.7%","2.5%","3.5","0.4%","4.6","1.1%","7.8%","4.1%","51.3%","56.7%","45.9%","3.2","3.4","6","16.7%","43","9","6.7%","1.4%","34","5.3%"
"B.J. Green II","649","DL","ASU","79.0%","43","45","13","6","4","28","34","675","222","171","0","1","0","0","6.6%","6.9%","3.4%","4.1","1.6%","4.7","1.5%","10.3%","5.2%","58.7%","63.1%","61.1%","0.9","2.2","11","25.0%","47","21","7.2%","3.2%","26","4.0%"
"Barryn Sorrell","557","DL","TEX","84.0%","27","32","15","2.5","4","14","27","559","253","150","0","0","0","0","4.8%","5.7%","4.6%","3.5","0.8%","4.7","1.8%","6.1%","4.8%","76.9%","65.8%","59.1%","1.8","3.5","5","15.6%","42","12","7.5%","2.2%","30","5.4%"
"Bear Alexander","618","DL","USC","2.3%","37","51","15","1","4","31","33","954","127","153","2","0","0","0","6.0%","8.3%","4.9%","2.7","0.3%","4.2","1.3%","10.0%","5.3%","41.4%","49.2%","45.9%","2.4","4.3","9","19.1%","54","12","8.7%","1.9%","42","6.8%"
"Ben Kopenski","680","DL","TLSA","85.0%","46","55","16","8","7","33","33.5","552","211","227","0","2","0","0","6.8%","8.1%","4.6%","3.5","2.3%","3.8","2.1%","9.9%","4.9%","61.0%","68.0%","50.9%","1.8","4.7","12","21.8%","52","15","7.6%","2.2%","37","5.4%"
"Brandon Dorlus","644","DL","ORE","26.4%","36","43","22","5.5","4","13","20.5","850","184","134","5","0","1","0","5.6%","6.7%","5.4%","3.7","1.3%","4.7","1.7%","5.5%","3.2%","45.1%","56.8%","50.0%","-0.1","2.9","9","26.5%","30","11","4.7%","1.7%","19","3.0%"
"Braxton Fely","543","DL","BSU","7.0%","30","36","9","3","2","23","10.5","836","99","123","0","3","1","0","5.5%","6.6%","3.2%","4.1","1.1%","4.8","0.8%","8.9%","1.9%","34.9%","47.5%","27.6%","0.3","6.6","3","10.7%","17","4","3.1%","0.7%","13","2.4%"
"Brennan Jackson","580","DL","WSU","90.0%","43","63","21","6.5","5","32","38.5","620","185","175","2","1","3","0","7.4%","10.9%","7.0%","3.8","2.2%","4.6","1.8%","11.5%","6.6%","61.3%","62.9%","54.8%","1.4","2.9","7","13.5%","59","18","10.2%","3.1%","41","7.1%"
"Brian Ugwu","665","DL","M-OH","84.2%","57","71","24","8","8","40","49","705","198","186","0","3","1","0","8.6%","10.7%","7.1%","4.0","2.4%","4.4","2.4%","12.2%","7.4%","58.6%","56.9%","51.4%","0.5","4.0","11","15.7%","71","27","10.7%","4.1%","44","6.6%"
"Bryce Dixon","583","DL","LIB","0%","19","22","5","1.5","5","12","22","805","153","132","2","1","0","0","3.3%","3.8%","1.6%","3.3","0.5%","4.5","1.9%","4.5%","3.8%","48.1%","49.8%","48.1%","1.2","3.0","4","16.0%","38","6","6.5%","1.0%","32","5.5%"
"CJ Bazile Jr.","668","DL","LIB","83.1%","36","48","17","3","8","27","35","659","276","176","0","0","0","0","5.4%","7.2%","4.4%","4.1","0.8%","4.5","2.8%","9.6%","5.2%","71.5%","62.4%","53.3%","1.2","4.7","6","13.6%","52","18","7.8%","2.7%","34","5.1%"
"CJ Nunnally, IV","634","DL","AKR","92.3%","46","50","18","6","6","27","41.5","535","158","195","0","1","0","0","7.3%","7.9%","6.1%","3.9","2.0%","3.5","1.8%","7.9%","6.5%","53.9%","57.2%","57.4%","1.7","2.0","17","33.3%","63","20","9.9%","3.2%","43","6.8%"
"Caiden Woullard","738","DL","M-OH","77.8%","47","58","28","10","2","27","34.5","836","227","210","1","2","1","0","6.4%","7.9%","7.4%","3.6","2.7%","4.6","0.6%","7.5%","4.7%","60.4%","58.0%","46.3%","0.8","3.8","13","24.1%","50","19","6.8%","2.6%","31","4.2%"
"Caleb Okechukwu","571","DL","SYR","45.2%","26","43","16","4.5","3","24","26.5","699","160","152","1","0","1","0","4.6%","7.5%","5.8%","3.5","1.6%","4.4","1.0%","8.1%","4.6%","58.2%","51.4%","56.7%","1.2","3.7","4","13.3%","42","11","7.4%","1.9%","31","5.4%"
"Cam Horsley","519","DL","BC","2.5%","29","25","6","-","6","12","25","726","104","132","2","0","0","0","5.6%","4.8%","2.5%","3.9","-","4.6","2.2%","4.3%","4.8%","42.8%","47.8%","35.7%","2.3","3.1","5","12.2%","46","4","8.9%","0.8%","42","8.1%"
"Carl Jones, Jr.","588","DL","UCLA","75.0%","41","40","12","1.5","8","22","42","407","153","123","0","0","2","0","7.0%","6.8%","3.3%","4.0","0.4%","3.3","3.6%","9.9%","7.1%","41.9%","55.2%","59.8%","4.8","3.6","10","16.7%","57","27","9.7%","4.6%","30","5.1%"
"Chris Hardie","643","DL","JAXST","64.4%","59","58","16","7","11","29","40.5","762","202","186","2","1","1","1","9.2%","9.0%","4.8%","3.3","2.1%","5.0","3.5%","9.3%","6.3%","61.0%","59.6%","58.5%","0.7","2.4","15","25.4%","59","22","9.2%","3.4%","37","5.8%"
"Clay Cromwell","541","DL","NAVY","3.9%","42","33","8","3","4","23","32.5","825","103","114","0","1","0","0","7.8%","6.1%","3.2%","3.4","1.2%","4.1","1.4%","8.0%","6.0%","40.7%","39.6%","58.9%","2.0","2.6","11","24.4%","50","15","9.2%","2.8%","35","6.5%"
"Cole Godbout","583","DL","WYO","3.1%","20","16","7","2.5","4","4","29.5","894","128","135","0","0","0","1","3.4%","2.7%","2.3%","3.9","0.8%","4.8","1.4%","1.4%","5.1%","41.8%","48.7%","47.7%","2.5","4.0","8","19.0%","47","12","8.1%","2.1%","35","6.0%"
"Coleman Coco","599","DL","RICE","51.9%","43","48","16","2.5","7","29","29","697","183","208","0","0","0","0","7.2%","8.0%","5.4%","4.3","0.8%","4.5","2.3%","9.6%","4.8%","61.4%","69.1%","46.7%","0.2","4.6","12","26.7%","47","11","7.8%","1.8%","36","6.0%"
"Corey Walker","577","DL","WMU","86.1%","32","49","15","1.5","7","24","21.5","626","182","168","4","1","1","0","5.5%","8.5%","5.1%","4.6","0.5%","4.4","2.5%","8.5%","3.7%","61.7%","59.6%","45.7%","2.0","4.7","6","18.2%","34","9","5.9%","1.6%","25","4.3%"
"Darius Alexander","638","DL","TOL","10.3%","44","62","25","4.5","7","25","24","929","161","154","4","1","0","0","6.9%","9.7%","8.0%","3.8","1.4%","4.3","2.2%","7.7%","3.8%","51.3%","47.5%","42.7%","0.1","2.2","14","35.0%","43","5","6.7%","0.8%","38","6.0%"
"Dashaun Mallory","591","DL","ASU","0.7%","34","37","1","0.5","10","26","26.5","783","168","125","3","0","0","0","5.8%","6.3%","0.3%","5.4","0.2%","5.1","3.8%","10.0%","4.5%","50.8%","48.1%","45.5%","2.1","2.8","11","25.0%","41","12","6.9%","2.0%","29","4.9%"
"David Ugwoegbu","572","DL","HOU","67.0%","31","48","8","2.5","9","30","36","425","118","170","1","1","1","0","5.4%","8.4%","3.0%","3.2","0.9%","3.8","3.0%","9.9%","6.3%","43.9%","56.1%","58.9%","2.4","2.6","11","25.0%","53","19","9.3%","3.3%","34","5.9%"
"Davin Vann","654","DL","NCST","23.5%","52","63","22","5.5","2","37","29.5","895","198","149","2","2","1","0","8.0%","9.6%","5.7%","3.9","1.4%","4.5","0.7%","13.8%","4.5%","51.4%","55.4%","51.3%","0.7","5.0","4","10.5%","46","13","7.0%","2.0%","33","5.0%"
"Dayon Hayes","549","DL","PITT","95.4%","55","76","18","4.5","11","48","32","479","149","190","3","1","0","0","10.0%","13.8%","7.6%","4.1","1.9%","4.4","3.5%","15.4%","5.8%","62.6%","61.1%","52.2%","0.3","3.5","8","18.2%","47","17","8.6%","3.1%","30","5.5%"
"De'Braylon Carroll","597","DL","RICE","7.4%","27","35","12","2.5","4","19","23","800","175","170","0","0","1","0","4.5%","5.9%","4.0%","3.8","0.8%","4.1","1.3%","6.3%","3.9%","58.9%","56.7%","40.6%","0.5","4.5","4","12.9%","39","7","6.5%","1.2%","32","5.4%"
"DeVonne Harris","612","DL","WYO","86.3%","33","38","16","3.5","2","19","29","521","186","175","1","1","1","0","5.4%","6.2%","4.9%","3.8","1.1%","3.7","0.7%","6.7%","4.7%","56.9%","61.4%","50.0%","1.7","3.0","10","21.3%","44","14","7.2%","2.3%","30","4.9%"
"Denzel Daxon","510","DL","ILL","0%","21","13","3","-","0","10","16.5","735","113","143","0","0","0","0","4.1%","2.5%","1.3%","3.5","-","4.5","0%","3.5%","3.2%","50.4%","50.0%","43.5%","2.7","5.0","4","18.2%","29","4","5.7%","0.8%","25","4.9%"
"Denzel Lowry","623","DL","ODU","0%","33","31","10","3.5","2","19","30","1032","99","117","0","1","1","0","5.3%","5.0%","3.3%","4.2","1.2%","4.2","0.6%","5.9%","4.8%","32.8%","36.4%","51.2%","1.5","2.7","9","22.5%","49","11","7.9%","1.8%","38","6.1%"
"Deone Walker","684","DL","UK","11.5%","40","53","20","6.5","6","30","34","1003","165","158","0","1","0","0","5.8%","7.7%","5.5%","3.8","1.8%","4.5","1.9%","9.4%","5.0%","45.3%","49.4%","46.9%","0.2","3.2","8","17.4%","53","15","7.7%","2.2%","38","5.6%"
"Deontae Craig","592","DL","IOWA","86.0%","25","23","12","3.5","2","6","29.5","658","217","204","3","0","0","0","4.2%","3.9%","3.8%","4.4","1.1%","5.0","0.7%","2.2%","5.0%","69.3%","73.1%","54.4%","1.8","2.9","6","17.6%","49","10","8.3%","1.7%","39","6.6%"
"Deshon Hall","544","DL","LT","36.8%","39","52","10","3.5","4","42","21.5","669","120","176","0","0","0","0","7.2%","9.6%","4.2%","3.9","1.5%","4.9","1.3%","13.6%","4.0%","50.8%","57.1%","51.4%","2.4","4.0","7","20.6%","32","11","5.9%","2.0%","21","3.9%"
"Desmond Evans","585","DL","UNC","87.4%","30","29","10","1","3","12","23","658","149","200","3","1","0","0","5.1%","5.0%","3.7%","3.4","0.4%","4.5","1.0%","3.8%","3.9%","54.8%","63.9%","50.0%","2.1","3.7","6","18.8%","36","10","6.2%","1.7%","26","4.4%"
"Devean Deal","510","DL","TULN","90.6%","37","47","12","3.5","10","25","35.5","389","120","126","1","3","1","1","7.3%","9.2%","4.5%","3.3","1.3%","2.8","4.1%","10.4%","7.0%","44.6%","52.3%","49.0%","0.8","3.8","18","34.6%","53","18","10.4%","3.5%","35","6.9%"
"Devo Bridges","712","DL","FRES","65.4%","42","44","15","4","6","22","40","733","204","225","1","0","0","1","5.9%","6.2%","4.2%","3.5","1.1%","4.8","1.7%","6.1%","5.6%","57.6%","62.8%","58.2%","2.1","3.9","9","16.7%","60","20","8.4%","2.8%","40","5.6%"
"Dewayne Carter","568","DL","DUKE","18.0%","35","50","9","1.5","6","32","27","790","136","159","3","1","1","0","6.2%","8.8%","3.2%","3.6","0.5%","4.3","2.1%","11.0%","4.8%","48.9%","54.8%","39.3%","2.2","4.4","11","28.2%","46","8","8.1%","1.4%","38","6.7%"
"Donald Berniard Jr.","551","DL","NAVY","0%","14","19","8","1","2","9","19","717","121","122","0","0","0","0","2.5%","3.4%","3.1%","3.2","0.4%","3.8","0.7%","3.1%","3.4%","46.5%","41.9%","48.1%","3.5","3.0","6","23.1%","30","8","5.4%","1.5%","22","4.0%"
"Donovan Ezeiruaku","535","DL","BC","89.3%","37","39","15","0.5","8","18","38","526","162","164","0","1","0","0","6.9%","7.3%","5.8%","3.9","0.2%","4.5","2.9%","6.5%","7.1%","63.0%","59.0%","50.8%","2.8","4.2","8","13.3%","56","20","10.5%","3.7%","36","6.7%"
"Elijah Roberts","606","DL","SMU","78.4%","35","51","36","10","1","12","24","658","221","171","1","2","0","0","5.8%","8.4%","10.8%","3.6","3.0%","3.9","0.4%","4.4%","4.0%","66.4%","62.6%","46.8%","-1.4","5.5","6","19.4%","40","8","6.6%","1.3%","32","5.3%"
"Eric Hicks Jr.","513","DL","TULN","0.2%","23","25","4","1.5","2","18","17.5","800","91","109","0","0","2","0","4.5%","4.9%","1.4%","5.3","0.5%","4.4","0.8%","7.6%","3.4%","33.0%","46.0%","54.8%","1.7","3.9","4","19.0%","27","8","5.3%","1.6%","19","3.7%"
"Eric Watts","538","DL","UCONN","93.9%","34","38","13","2","5","20","28.5","522","202","172","2","2","0","0","6.3%","7.1%","4.7%","3.1","0.7%","4.4","1.9%","7.7%","5.3%","72.9%","65.9%","57.1%","2.7","3.1","7","20.0%","45","12","8.4%","2.2%","33","6.1%"
"Evan Anderson","555","DL","FAU","0.2%","48","36","6","3.5","4","26","34","847","109","120","1","0","1","0","8.6%","6.5%","2.2%","4.5","1.3%","4.0","1.4%","9.1%","6.1%","40.4%","42.1%","56.7%","2.4","2.8","11","24.4%","52","16","9.4%","2.9%","36","6.5%"
"Fatafehi Vailea","546","DL","UNT","51.5%","16","24","2","1","1","20","20","745","92","195","1","0","0","0","2.9%","4.4%","1.1%","5.6","0.5%","5.0","0.3%","5.6%","3.7%","49.2%","54.3%","44.8%","3.7","4.0","5","18.5%","34","6","6.2%","1.1%","28","5.1%"
"Fish Mcwilliams","655","DL","UAB","2.7%","23","35","14","1.5","1","19","19","914","164","180","1","1","1","0","3.5%","5.3%","4.3%","3.2","0.5%","4.3","0.3%","5.7%","2.9%","50.8%","54.2%","48.4%","2.6","3.2","11","35.5%","30","8","4.6%","1.2%","22","3.4%"
"Gabriel Murphy","737","DL","UCLA","47.9%","67","84","37","13","8","39","38","820","237","180","3","2","0","0","9.1%","11.4%","8.6%","3.4","3.0%","4.3","2.6%","12.7%","5.2%","55.2%","58.4%","55.6%","-1.5","3.8","11","20.8%","54","22","7.3%","3.0%","32","4.3%"
"Garret Fountain","593","DL","SDSU","45.5%","28","27","7","1","5","15","32","719","203","148","0","0","1","0","4.7%","4.6%","2.1%","3.9","0.3%","4.4","1.9%","5.7%","5.4%","61.5%","56.3%","53.8%","3.2","3.2","6","15.0%","50","14","8.4%","2.4%","36","6.1%"
